re_id;re_cu_id;re_date;re_amount;re_modeofpayment;re_checknumber;re_bank
1;818;2005-08-28 03:19;46437;L728RSPBRC3VYHM;88266;EP15-7548-2088-5062
2;559;2002-02-05 12:15;15211;9ZUX2AQOADY261S;14108;QL50-6773-8382-9632
3;1002;2009-03-23 17:27;25100;TMPNNNJSQ6IW2KX;41248;TZ29-4759-7951-5450
4;443;2007-10-07 04:42;42705;5JOIGCDBGEXEUM5;20340;SN36-5853-9284-3101
5;274;2004-11-27 07:28;38724;KG2CRZDMG27VRTL;92539;EI13-1342-2504-8208
6;468;2002-03-08 10:41;44706;F1WMC96G9E69P4X;897;CP86-7523-8751-2284
7;470;2010-02-14 08:24;17539;1TCMHL56622E5HK;38050;CD66-0448-3017-2754
8;31;2008-03-29 22:19;9775;S7ZTPIDA9L2DT3W;64999;FY37-2050-4494-1086
9;996;2002-10-04 00:12;10385;42UXHZ8TVQG97SB;26126;TM57-4605-0682-3937
10;315;2002-03-15 18:13;19560;NULL;64857;XV95-2916-7644-8008
11;849;2009-12-21 07:24;31135;UIGI54EJF1CWIRD;68470;OL38-2981-9786-6131
12;33;2006-11-25 18:14;16269;6QA2NM6TY5XZ233;75471;WW20-7058-8033-5790
13;527;2006-07-23 01:01;9692;ABJANE60OBIFMCA;96058;IP78-7429-6665-0774
14;688;2010-04-25 04:43;22212;CD3GH847CNJ06EG;80250;HH07-3403-1752-5160
15;82;2002-11-05 21:12;39699;YVL783FRKAEB4R6;28323;IW13-8849-5003-6024
16;454;2005-05-11 22:46;49896;UTMPZNZ16BX0U5T;68068;DP59-2655-4294-8484
17;989;2003-08-15 08:52;30016;U5HQQ3W9XCV7US3;29311;PK67-9780-5612-6455
18;763;2002-04-04 12:03;32423;GW5DRRDAWK0W5FW;55503;WJ07-8976-9352-8152
19;382;2010-05-21 19:24;47958;G4HY9FVQXDRNRR6;40616;SM86-1820-9570-5941
20;958;2002-08-09 03:40;22710;8CJYZGH2R6U62Z4;11714;CK62-0772-2218-1037
21;716;2008-02-03 11:48;40492;FGRQB4B00EGE0QJ;44111;OR07-1132-1060-2310
22;1005;2007-04-12 06:22;41593;DMNSVYF0ME73LPO;92882;LU62-1638-3757-5588
23;795;2010-06-20 20:14;5511;888B0G231JXLZ22;26889;LZ11-7887-6918-3520
24;458;2002-04-19 20:04;19123;NQSGBCMG1Q3XX7F;71437;YI83-3578-2497-5003
25;222;2006-04-09 01:45;28623;QJ6RI74XKJRC1U0;64135;ME77-8119-8156-3844
26;719;2002-01-22 22:35;32493;B5GUW8LWMRA9C46;31416;EV45-0384-6641-0574
27;488;2007-10-27 07:28;25327;4LUGWBJFLVVSKAE;24320;OX33-1521-8433-3227
28;879;2008-05-29 18:15;16597;QJLSRKEIX95QXVK;16879;HN14-5723-9869-0269
29;736;2006-09-06 18:33;39827;DY8GZJN0L091CTB;83123;RG72-7172-6723-2835
30;680;2007-03-02 06:55;18970;D3JTJE1J6CJN5TI;70694;YV95-4520-8962-3297
31;219;2004-10-01 01:14;33737;AGEM2Y76WL6QBD5;16605;MB21-5083-3974-8643
32;897;2004-05-24 01:46;26470;XTCTCRWZWO9N00U;40015;NH87-0586-8247-6428
33;839;2009-08-27 20:20;12648;IIQWEP9FWCWX7B8;14132;KQ49-8945-3097-4474
34;645;2008-11-08 12:05;39347;6EPCGOEIKFPEPJ5;49515;ZT47-6122-5006-3772
35;220;2010-05-15 12:08;13967;QD7SM9P8KXXZUYR;51723;KB52-0410-3948-9262
36;482;2007-09-05 05:39;33714;FFHMAICU47BZZVQ;3071;EI79-1506-2066-9575
37;720;2010-11-08 09:14;40617;706T3G6WOGSIQEO;41173;CG11-7445-9727-7268
38;101;2004-08-17 04:14;48670;O4Z92IL81DNFXQ8;97761;DK18-2396-6100-5724
39;1026;2004-09-29 20:46;23822;7LRURXHY9LXUQT3;14845;QB22-9222-7898-0285
40;906;2005-07-27 04:22;48220;JQAVVGAOFYSPTRY;10144;KW35-6915-4753-8642
41;477;2004-03-22 15:42;735;82A5NUTRM0ZGLRI;31630;TL93-2644-8121-9722
42;326;2003-09-09 20:07;23277;AXV7FDTQA2ET4S5;44369;CR20-4326-2964-3204
43;469;2002-05-30 07:59;30880;MZMNJX2PWJ8VHT3;6661;QD56-1188-0867-6267
44;810;2004-09-09 23:55;20615;GKEVVRIU9JUKF0M;49980;GS61-7054-8945-6413
45;765;2009-09-20 07:46;19261;VHUL5UODU6AW5Y9;76756;JV20-6570-6044-9473
46;295;2004-10-12 08:24;9481;ZQDKD9MVHRDZ2I9;NULL;JL28-2307-4089-4151
47;664;2009-12-15 01:05;11214;XDZZZHILV10PGMP;39673;VK18-1579-9193-9274
48;287;2010-03-01 09:36;46149;9DLOM1HMVY4DGPA;15652;SG20-4343-2550-0010
49;223;2008-07-12 23:06;41175;WEYRYAHH7SOB8XF;54473;HV49-5549-6301-8756
50;69;2010-02-05 10:38;1609;22POXKAVWC40D54;84830;GQ76-3881-3444-8169
51;694;2004-11-14 17:10;21766;ROS1NXCZW3HUD5E;44165;BL51-9522-4501-7242
52;928;2009-02-18 01:40;12174;J9AEZLEB42UM5H4;49722;OT39-7896-7411-1404
53;929;2002-08-20 11:02;39860;NHKJ4D75QPSU3FI;33344;QW98-2808-6056-2171
54;901;2002-07-13 21:02;13136;Y6H3UQ759HXK2QT;19723;HP60-0367-8498-3025
55;94;2010-07-10 05:50;7367;YE7VLUT515O9TK7;50296;XV03-5293-2532-2852
56;107;2009-05-17 20:57;4844;K3NZZ08W9E9NFN2;20912;LB86-8181-6637-6715
57;954;2002-08-17 16:01;9700;WDVP8M63CB2O2XC;4020;SM58-5902-2547-1706
58;149;2008-12-04 21:23;5977;980Z2TFY6AL6K6Q;93143;AE59-5260-7475-2792
59;570;2003-07-01 02:56;0;3ODGPIGXWJNOYJU;54932;UW31-0940-8962-0950
60;619;2004-11-05 08:52;14081;2KE6M2X2XWJY0ZJ;81151;LE51-1599-4923-1704
61;125;2005-05-12 03:12;6230;KNKDKWZQS22I6QZ;15260;FB84-3028-1437-8918
62;851;2003-09-18 14:08;19379;F94ZSJR1RBITZIW;2044;NB39-9681-5321-6668
63;282;2003-07-25 03:46;941;0H3BZHR6LNEKZEV;58843;SD34-6437-6979-5463
64;959;2006-08-03 17:16;19949;XWIRVJD1WJM9D5Q;30624;KP51-5313-0979-0553
65;388;2008-06-13 16:58;41416;65IONONYIYD4571;29883;LK94-1811-4035-7260
66;281;2007-07-31 05:38;35823;FBV2Z51H42EFUIS;74340;HM69-0049-0192-6764
67;532;2008-03-29 21:53;4664;X3ETW7J89K8X59V;3394;YD58-3432-3119-3450
68;1065;2008-09-12 12:56;3620;I9T2ANA030KK973;91097;SG48-3515-5433-0147
69;847;2010-12-10 16:35;20346;5X71T7G8RMTFW4C;23711;DR60-2933-4728-0910
70;105;2006-03-02 15:33;8244;6QXLOQ59SDPVMZZ;99003;FS76-5522-3255-7850
71;402;2005-07-03 13:32;5985;G9R71UVASLANUV4;41996;UE17-4101-6799-9396
72;131;2009-12-28 04:38;9278;OPEJAIBESY8FHKL;61723;NULL
73;616;2008-07-04 15:17;31347;NRYNC5TCUMS3GIE;64653;CB14-2821-9245-6971
74;686;2006-10-26 15:02;8600;8Q7WLGRYXDF3LFT;22146;EE65-6485-3271-0242
75;173;2009-05-18 11:58;49738;ZIZ3XGMJW1OOP7Y;35325;UZ75-4324-5999-4906
76;610;2006-05-27 15:40;21975;JC6QDP770ZPZPPR;40925;JR59-4866-9131-9011
